Test Time(ms),Current (A),Inlet Temp,Outlet Temp,Thermocouple Temp,Average Tab Temp,Test Time (s)
3783630,14.016,23.3012975,23.7376396,25.1506,23.51946855,1411
3784630,14.0159,23.3177832,23.7137062,25.2223,23.5157447,1412
3785630,14.0159,23.2985142,23.6993038,25.1044,23.498909,1413
3786630,14.016,23.7654663,23.7437818,25.2377,23.75462405,1414
3787630,14.0159,23.3526815,23.836762,25.1594,23.59472175,1415
3788630,14.0161,23.3526815,23.836762,25.1594,23.59472175,1416
3789630,14.016,23.6091733,23.7511948,25.1893,23.68018405,1417
3790630,14.016,23.3925041,24.0034486,25.1813,23.69797635,1418
3791630,14.016,23.4025668,23.5067776,25.1497,23.4546722,1419
3792630,14.016,23.3231357,24.0703774,25.2585,23.69675655,1420
3793630,14.0159,23.2865246,23.6749468,25.1255,23.4807357,1421
3794630,14.016,23.1790464,23.9655364,25.2059,23.5722914,1422
3795630,14.0161,23.280958,23.5639636,25.1627,23.4224608,1423
3796630,14.016,23.3287023,23.5468078,25.2196,23.43775505,1424
3797630,14.0159,23.2347124,23.6327986,25.1161,23.4337555,1425
3798630,14.0159,23.2347124,23.6327986,25.1161,23.4337555,1426
3799630,14.016,23.2668274,23.922541,25.1711,23.5946842,1427
3800630,14.016,23.2704671,23.7062932,25.1381,23.48838015,1428
3800710,14.0161,23.2704671,23.7062932,25.1381,23.48838015,1428.08
3800810,41.9829,23.2704671,23.7062932,25.1381,23.48838015,1428.18
3801710,41.9843,23.5333819,23.590015,25.1807,23.56169845,1429.08
3802710,41.9838,23.3122166,23.7564898,25.2414,23.5343532,1430.08
3803710,41.9835,23.3299869,23.6912554,25.1144,23.51062115,1431.08
3804710,41.9837,23.2368534,23.7221782,25.1979,23.4795158,1432.08
3805710,41.9836,23.7494088,23.73298,25.2206,23.7411944,1433.08
3806710,41.9835,23.4331831,24.0144622,25.2517,23.72382265,1434.08
3807710,41.9838,23.424405,23.7321328,25.2091,23.5782689,1435.08
3808710,41.9836,23.3351253,23.784871,25.13,23.55999815,1436.08
3809710,41.9836,23.4781441,23.8916182,25.2055,23.68488115,1437.08
3810710,41.9836,23.3933605,23.9655364,25.1597,23.67944845,1438.08
3811710,41.9836,23.4730057,23.8700146,25.1811,23.67151015,1439.08
3812710,41.9837,23.6389332,24.1262926,25.2331,23.8826129,1440.08
3813710,41.9837,23.5753455,24.1570036,25.2111,23.86617455,1441.08
3814710,41.9835,24.2255672,24.1519204,25.1023,24.1887438,1442.08
3815710,41.9836,23.5967555,24.4977898,25.1817,24.04727265,1443.08
3816710,41.9837,23.6511369,24.2055058,25.1849,23.92832135,1444.08
3817710,41.9838,23.6025362,24.3613906,25.1572,23.9819634,1445.08
3818710,41.9838,23.6723328,24.3829942,25.2289,24.0276635,1446.08
3819710,41.9837,24.167332,24.3378808,25.221,24.2526064,1447.08
3820710,41.9837,23.8879315,24.4380622,25.155,24.16299685,1448.08
3821710,41.9838,24.2330607,24.429802,25.2146,24.33143135,1449.08
3822710,41.9836,24.0679896,24.5323132,25.248,24.3001514,1450.08
3823710,41.9837,23.8209182,24.865051,25.1341,24.3429846,1451.08
3824710,41.9837,24.0422976,24.6075022,25.1412,24.3248999,1452.08
3825710,41.9837,23.8500358,24.59077,25.0776,24.2204029,1453.08
3826710,41.9837,24.0073993,24.5062618,25.1472,24.25683055,1454.08
3827710,41.9836,23.9973366,24.7508908,25.1995,24.3741137,1455.08
3828710,41.9836,23.9911277,24.6515566,25.1788,24.32134215,1456.08
3829710,41.9837,24.1193736,24.6502858,25.2429,24.3848297,1457.08
3830710,41.9838,24.0673473,24.7345822,25.2731,24.40096475,1458.08
3831710,41.9838,24.154486,24.783508,25.1217,24.468997,1459.08
3832710,41.9837,24.2090815,24.798334,25.1339,24.50370775,1460.08
3833710,41.9838,24.2904395,24.812101,25.1417,24.55127025,1461.08
3834710,41.9837,24.3002881,24.8794534,25.1915,24.58987075,1462.08
3835710,41.9837,24.0956085,24.936004,25.1661,24.51580625,1463.08
3836710,41.9837,24.2968625,25.2799672,25.2079,24.78841485,1464.08
3837710,41.9839,24.1851023,24.8239618,25.2289,24.50453205,1465.08
3838710,41.9837,24.2867998,25.3269868,25.2086,24.8068933,1466.08
3839710,41.9838,24.1307209,25.0230538,25.1049,24.57688735,1467.08
3840710,41.9837,24.1943086,25.339483,25.2042,24.7668958,1468.08
3841710,41.9837,24.3715834,25.3837492,25.2662,24.8776663,1469.08
3842710,41.9837,24.4630041,25.426321,25.238,24.94466255,1470.08
3843710,41.9838,24.293651,25.0580008,25.2302,24.6758259,1471.08
3844710,41.9838,24.7319137,25.0925242,25.2069,24.91221895,1472.08
3845710,41.9837,24.3435363,25.0575772,25.2336,24.70055675,1473.08
3846710,41.9838,24.4743514,25.2380308,25.2287,24.8561911,1474.08
3847710,41.9838,24.3381838,25.1062912,25.1528,24.7222375,1475.08
3848710,41.9837,24.7092191,25.381843,25.1944,25.04553105,1476.08
3849710,41.9838,24.4700694,25.2270172,25.151,24.8485433,1477.08
3850710,41.9838,24.4210405,25.1831746,25.2596,24.80210755,1478.08
3851710,41.9838,24.4293904,25.2344302,25.1446,24.8319103,1479.08
3852710,41.9838,24.409265,25.2384544,25.1525,24.8238597,1480.08
3853710,41.9837,24.5850411,25.2714952,25.2176,24.92826815,1481.08
3854710,41.9838,24.8595173,25.251586,25.1904,25.05555165,1482.08
3855710,41.9839,24.565558,25.3350352,25.2392,24.9502966,1483.08
3856710,41.9837,24.4514427,25.3350352,25.2241,24.89323895,1484.08
3857710,41.9838,24.5255213,25.3494376,25.2474,24.93747945,1485.08
3858710,41.9838,24.4081945,25.461268,25.2161,24.93473125,1486.08
3859710,41.9837,24.6334277,25.3958218,25.1676,25.01462475,1487.08
3860710,41.9837,24.529161,25.517395,25.2835,25.023278,1488.08
3861710,41.9836,24.4874115,25.5786052,25.2133,25.03300835,1489.08
3862710,41.9837,24.657621,25.3973044,25.2602,25.0274627,1490.08
3863710,41.9837,24.6539813,25.504687,25.2612,25.07933415,1491.08
3864710,41.9839,24.6794592,25.524808,25.2678,25.1021336,1492.08
3865710,41.9838,24.5970307,25.9331584,25.1426,25.26509455,1493.08
3866710,41.9837,24.6546236,25.6124932,25.2219,25.1335584,1494.08
3867710,41.9837,24.606237,25.532221,25.2112,25.069229,1495.08
3868710,41.9837,24.7334124,25.6173646,25.1639,25.1753885,1496.08
3869710,41.9838,24.5754066,25.5273496,25.2585,25.0513781,1497.08
3870710,41.9838,24.6492711,25.6364266,25.2003,25.14284885,1498.08
3871710,41.9838,24.6047383,25.9310404,25.2414,25.26788935,1499.08
3872710,41.9836,24.5017562,25.6766686,25.1598,25.0892124,1500.08
3872870,41.9836,24.5017562,25.6766686,25.1598,25.0892124,1500.24
3872970,14.018,24.5017562,25.6766686,25.1598,25.0892124,1500.34
3873870,14.0166,24.7212087,25.667773,25.2117,25.19449085,1501.24
3874870,14.0156,24.6428481,25.7463508,25.2787,25.19459945,1502.24
3875870,14.0158,24.824619,25.7815096,25.1987,25.3030643,1503.24
3876870,14.0159,24.6659709,25.983355,25.2401,25.32466295,1504.24
3877870,14.0159,24.6798874,25.7825686,25.2501,25.231228,1505.24
3878870,14.016,24.7618877,25.6438396,25.1951,25.20286365,1506.24
3879870,14.0159,24.6541954,25.5423874,25.2159,25.0982914,1507.24
3880870,14.0159,24.6124459,25.5783934,25.2356,25.09541965,1508.24
3881870,14.0159,24.8832824,25.4976976,25.2311,25.19049,1509.24
3882870,14.0158,24.4754219,25.904989,25.1948,25.19020545,1510.24
3883870,14.0159,24.6291457,25.6235068,25.189,25.12632625,1511.24
3884870,14.0159,24.5370827,25.5337036,25.1795,25.03539315,1512.24
3885870,14.0159,24.3784346,25.9011766,25.2454,25.1398056,1513.24
3886870,14.0159,24.5602055,25.7698606,25.2135,25.16503305,1514.24
3887870,14.0158,24.766812,25.9433248,25.1961,25.3550684,1515.24
3888870,14.016,24.4246802,25.4354284,25.2048,24.9300543,1516.24
3889870,14.016,24.385714,25.4322514,25.2107,24.9089827,1517.24
3890870,14.0158,24.3940639,25.4483482,25.2491,24.92120605,1518.24
3891870,14.0158,24.2947215,25.4176372,25.1837,24.85617935,1519.24
3892870,14.016,24.5008998,25.2287116,25.2437,24.8648057,1520.24
3893870,14.016,24.6195112,25.2553984,25.2357,24.9374548,1521.24
3894870,14.016,24.2519015,25.3261396,25.2278,24.78902055,1522.24
3895870,14.0158,24.1793216,25.309831,25.1815,24.7445763,1523.24
3896870,14.0158,24.0315926,25.1897404,25.2209,24.6106665,1524.24
3897870,14.0159,24.2279223,25.0848994,25.1844,24.65641085,1525.24
3898870,14.016,24.0983918,25.1698312,25.2198,24.6341115,1526.24
3899870,14.0158,24.1521309,25.5927958,25.2618,24.87246335,1527.24
3900870,14.0158,24.122371,25.3793014,25.225,24.7508362,1528.24
3901870,14.016,24.1110237,24.9906484,25.2814,24.55083605,1529.24
3902870,14.0161,24.1176608,25.1037496,25.2611,24.6107052,1530.24
3903870,14.0159,24.0656345,25.0533412,25.273,24.55948785,1531.24
3904870,14.016,24.1636923,25.1448388,25.1697,24.65426555,1532.24
3905870,14.0159,24.0812638,24.9237196,25.1736,24.5024917,1533.24
3906870,14.016,24.088115,25.0834168,25.2136,24.5857659,1534.24
3907870,14.0159,24.0634935,24.9633262,25.2358,24.51340985,1535.24
3908870,14.0158,24.0294516,24.974128,25.2078,24.5017898,1536.24
3909870,14.0159,23.9956238,25.3252924,25.2689,24.6604581,1537.24
3910870,14.0159,24.0735562,25.0467754,25.1781,24.5601658,1538.24
3911870,14.0159,23.9202606,25.3047478,25.2042,24.6125042,1539.24
3912870,14.0159,23.993911,24.8849602,25.2364,24.4394356,1540.24
3913870,14.016,23.9418847,25.4458066,25.2577,24.69384565,1541.24
3914870,14.0158,24.0397284,24.8489542,25.2217,24.4443413,1542.24
3915870,14.0159,24.4298186,25.4616916,25.1944,24.9457551,1543.24
3916870,14.016,24.2559694,24.983659,25.2551,24.6198142,1544.24
3917870,14.0159,23.9570858,25.0289842,25.2767,24.493035,1545.24
3918870,14.0159,23.9919841,24.9732808,25.2001,24.48263245,1546.24
3919870,14.016,24.1054571,25.026019,25.2975,24.56573805,1547.24
3920870,14.0159,23.9727151,25.000603,25.2514,24.48665905,1548.24
3921870,14.0159,23.9919841,24.9976378,25.1979,24.49481095,1549.24
3922870,14.0159,24.023885,25.1098918,25.2062,24.5668884,1550.24
3923870,14.016,24.0478642,25.3841728,25.2833,24.7160185,1551.24
3924870,14.016,24.3807897,24.9268966,25.2891,24.65384315,1552.24
3925870,14.016,23.9883444,25.3195738,25.2488,24.6539591,1553.24
3926870,14.0158,23.9628665,24.9124942,25.3201,24.43768035,1554.24
3927870,14.016,23.9999058,24.9912838,25.2913,24.4955948,1555.24
3928870,14.0159,24.0619948,25.32148,25.3021,24.6917374,1556.24
3929870,14.0159,24.1148775,24.9362158,25.3135,24.52554665,1557.24
3930870,14.0159,24.1564129,24.9067756,25.2822,24.53159425,1558.24
3931870,14.0159,23.9943392,25.3710412,25.3398,24.6826902,1559.24
3932870,14.0159,23.9247567,25.2405724,25.2416,24.58266455,1560.24
3933870,14.0159,24.3360428,24.8794534,25.2929,24.6077481,1561.24
3934870,14.0159,24.3208417,24.8620858,25.2045,24.59146375,1562.24
3935870,14.016,23.9759266,24.9468058,25.2967,24.4613662,1563.24
3936870,14.016,24.3304762,25.3111018,25.309,24.820789,1564.24
3937870,14.0159,24.3375415,24.92965,25.37,24.63359575,1565.24
3938870,14.0159,23.9870598,24.9288028,25.2991,24.4579313,1566.24
3939870,14.0158,23.8534614,24.9040222,25.2968,24.3787418,1567.24
3940870,14.0158,23.9984071,24.9474412,25.3556,24.47292415,1568.24
3941870,14.0158,23.9491641,24.9006334,25.2349,24.42489875,1569.24
3942870,14.0159,23.963937,25.2935224,25.3372,24.6287297,1570.24
3943870,14.0159,23.9911277,24.8178196,25.3524,24.40447365,1571.24
3944870,14.0159,24.3392543,24.8061706,25.2899,24.57271245,1572.24
3945870,14.016,23.9151222,24.8563672,25.2823,24.3857447,1573.24
3946870,14.0159,23.9277541,24.7763068,25.2941,24.35203045,1574.24
3947870,14.0158,23.8065735,24.9717982,25.2779,24.38918585,1575.24
3948870,14.0159,23.9266836,24.7275928,25.3887,24.3271382,1576.24
3949870,14.0159,24.1703294,24.8370934,25.4073,24.5037114,1577.24
3950870,14.0159,23.8309809,24.8514958,25.3432,24.34123835,1578.24
3951870,14.0159,23.811926,24.7561858,25.3827,24.2840559,1579.24
3952870,14.0159,23.8695189,24.9099526,25.2975,24.38973575,1580.24
3953870,14.0159,24.2071546,24.7468666,25.2777,24.4770106,1581.24
3954870,14.0159,23.9420988,24.852343,25.3141,24.3972209,1582.24
3955870,14.0159,24.0204594,24.8845366,25.2686,24.452498,1583.24
3956870,14.016,23.8147093,24.8493778,25.3723,24.33204355,1584.24
3957870,14.0159,23.8665215,24.6809968,25.3088,24.27375915,1585.24
