Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7401320,41.9835,26.1197099,26.2148524,25.254,26.16728115,1329.09
7402320,41.9836,26.0612606,26.2891942,25.2952,26.1752274,1330.09
7403320,41.9837,26.2006397,26.2116754,25.2593,26.20615755,1331.09
7404320,41.9837,26.2573762,26.4635056,25.1543,26.3604409,1332.09
7405320,41.9837,26.357575,26.3734906,25.1969,26.3655328,1333.09
7406320,41.9835,26.4320818,26.4389368,25.2616,26.4355093,1334.09
7407320,41.9836,26.3102589,26.5907974,25.2042,26.45052815,1335.09
7408320,41.9836,26.5005938,26.4452908,25.2162,26.4729423,1336.09
7409320,41.9836,26.5637533,26.5696174,25.2097,26.56668535,1337.09
7410320,41.9836,26.5778839,26.6422648,25.1942,26.61007435,1338.09
7411320,41.9836,26.5616123,26.6581498,25.2895,26.60988105,1339.09
7412320,41.9837,26.9125222,27.0076198,25.2681,26.960071,1340.09
7413320,41.9836,26.7271116,26.8121284,25.2786,26.76962,1341.09
7414320,41.9836,26.6949966,27.1855318,25.181,26.9402642,1342.09
7415320,41.9837,26.6155655,27.2151838,25.1824,26.91537465,1343.09
7416320,41.9836,26.8373731,26.770192,25.2626,26.80378255,1344.09
7417320,41.9836,26.9461359,27.0792082,25.1963,27.01267205,1345.09
7418320,41.9837,26.9701151,27.0376954,25.2627,27.00390525,1346.09
7419320,41.9836,27.0307054,27.023293,25.2088,27.0269992,1347.09
7420320,41.9837,27.0733113,27.0459556,25.1882,27.05963345,1348.09
7421320,41.9837,27.0003032,27.2147602,25.2316,27.1075317,1349.09
7422320,41.9837,26.9940943,27.2431414,25.2819,27.11861785,1350.09
7423320,41.9836,27.0752382,27.6034132,25.1848,27.3393257,1351.09
7424320,41.9838,27.1242671,27.3890716,25.24,27.25666935,1352.09
7425320,41.9837,27.1805754,27.531613,25.2178,27.3560942,1353.09
7426320,41.9837,27.5248482,27.5458036,25.2231,27.5353259,1354.09
7427320,41.9837,27.3220955,27.482899,25.187,27.40249725,1355.09
7428320,41.9837,27.5105035,27.4805692,25.2068,27.49553635,1356.09
7429320,41.9837,27.333871,27.6997822,25.235,27.5168266,1357.09
7430320,41.9837,27.4053804,27.6913102,25.194,27.5483453,1358.09
7431320,41.9838,27.4659707,27.6474676,25.2226,27.55671915,1359.09
7432320,41.9836,27.530843,27.854608,25.2961,27.6927255,1360.09
7433320,41.9836,27.4574067,27.7940332,25.2784,27.62571995,1361.09
7434320,41.9837,27.6083472,27.8082238,25.2206,27.7082855,1362.09
7435320,41.9838,27.6019242,27.9458938,25.2207,27.773909,1363.09
7436320,41.9837,27.6918462,28.0426864,25.1976,27.8672663,1364.09
7437320,41.9837,28.1121245,28.0382386,25.1976,28.07518155,1365.09
7438320,41.9838,27.7926873,28.1043202,25.2223,27.94850375,1366.09
7439320,41.9837,27.982594,27.961567,25.2585,27.9720805,1367.09
7440320,41.9836,27.9500508,28.547194,25.2071,28.2486224,1368.09
7441320,41.9837,27.8727607,28.1646832,25.2684,28.01872195,1369.09
7442320,41.9837,28.0493932,28.2661354,25.2487,28.1577643,1370.09
7443320,41.9836,27.963325,28.6289488,25.2274,28.2961369,1371.09
7444320,41.9837,28.1095553,28.3605982,25.1845,28.23507675,1372.09
