SOC,OCV
82.65,12.425
82.75,12.428
82.85,12.431
82.95,12.434
83.05,12.437
83.15,12.440
83.25,12.444
83.35,12.447
83.45,12.450
83.55,12.452
83.65,12.455
83.75,12.459
83.85,12.462
83.95,12.465
84.05,12.468
84.15,12.471
84.25,12.474
84.35,12.477
84.45,12.481
84.55,12.484
84.65,12.487
84.75,12.490
84.85,12.494
84.95,12.497
85.05,12.500
85.15,12.503
85.25,12.506
85.35,12.509
85.45,12.512
85.55,12.515
85.65,12.518
85.75,12.521
85.85,12.525
85.95,12.528
86.05,12.531
86.15,12.535
86.25,12.538
86.35,12.541
86.45,12.545
86.55,12.548
86.65,12.551
86.75,12.555
86.85,12.557
86.95,12.560
87.05,12.564
87.15,12.567
87.25,12.570
87.35,12.574
87.45,12.577
87.55,12.581
87.65,12.585
87.75,12.588
87.85,12.592
87.95,12.595
88.05,12.598
88.15,12.601
88.25,12.604
88.35,12.608
88.45,12.611
88.55,12.614
88.65,12.618
88.75,12.621
88.85,12.626
88.95,12.629
89.05,12.633
89.15,12.636
89.25,12.640
89.35,12.643
89.45,12.646
89.55,12.649
89.65,12.653
89.75,12.656
89.85,12.659
89.95,12.663
90.05,12.666
90.15,12.670
90.25,12.674
90.35,12.677
90.45,12.680
90.55,12.684
90.65,12.687
90.75,12.690
90.85,12.694
90.95,12.697
91.05,12.700
91.15,12.704
91.25,12.708
91.35,12.711
91.45,12.715
91.55,12.718
91.65,12.722
91.75,12.725
91.85,12.728
91.95,12.732
92.05,12.735
92.15,12.739
92.25,12.742
92.35,12.746
92.45,12.751
92.55,12.755
92.65,12.758
92.75,12.762
92.85,12.765
92.95,12.769
93.05,12.772
93.15,12.776
93.25,12.779
93.35,12.783
93.45,12.786
93.55,12.789
93.65,12.794
93.75,12.798
93.85,12.802
93.95,12.805
94.05,12.809
94.15,12.812
94.25,12.816
94.35,12.819
94.45,12.823
94.55,12.826
94.65,12.830
94.75,12.834
94.85,12.837
94.95,12.841
95.05,12.844
95.15,12.848
95.25,12.851
95.35,12.855
95.45,12.858
95.55,12.862
95.65,12.866
95.75,12.869
95.85,12.873
95.95,12.877
96.05,12.881
96.15,12.885
96.25,12.888
96.35,12.892
96.45,12.896
96.55,12.899
96.65,12.903
96.75,12.907
96.85,12.911
96.95,12.914
97.05,12.919
97.15,12.923
97.25,12.927
97.35,12.931
97.45,12.934
97.55,12.938
97.65,12.942
97.75,12.946
97.85,12.950
97.95,12.954
98.05,12.958
98.15,12.962
98.25,12.966
98.35,12.971
98.45,12.975
98.55,12.979
98.65,12.983
98.75,12.987
98.85,12.991
98.95,12.995
99.05,13.000
99.15,13.004
99.25,13.009
99.35,13.013
99.45,13.018
99.55,13.022
99.65,13.027
99.75,13.032
99.85,13.036
99.95,13.040
100,13.050
